,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Tên vật tư,Mã,Mã vật tư tính giá,Đvt,Đvt hộp,Hệ số hộp,Đvt M2,Hế số M2,Loại vật tư,Mã nhóm mẹ,Hãng sản xuất,Nhóm hàng,Sản phẩm,Thuế TTĐB,Đơn vị cơ sở,Quy cách,Quy cách Code,Id,Ngày tạo mới
Ke Cân Bằng NS  1 mm,00.KCB.100.NS,00.KCB.100.NS,Kg,bịch,1.00,, ,Vật tư hàng hóa,00.KE,,KENEM,,0%,,KE CÂN BẰNG,KCB,13344,7/7/2021
Ke Cân Bằng TS 1 mm,00.KCB.100.TS,00.KCB.100.TS,Kg,bịch,1.00,, ,Vật tư hàng hóa,00.KE,,KENEM,,0%,,KE CÂN BẰNG,KCB,13345,7/7/2021
Ke Cân Bằng NS  1.5 mm,00.KCB.150.NS,00.KCB.150.NS,Kg,bịch,1.00,, ,Vật tư hàng hóa,00.KE,,KENEM,,0%,,KE CÂN BẰNG,KCB,13346,7/12/2021
Ke Cân Bằng NS  2.0 mm,00.KCB.200.NS,00.KCB.200.NS,Kg,bịch,1.00,, ,Vật tư hàng hóa,00.KE,,KENEM,,0%,,KE CÂN BẰNG,KCB,13347,7/12/2021
Ke Chữ Thập NS 1 mm,00.KCT.100.NS,00.KCT.100.NS,Kg,Bịch,1.00,, ,Vật tư hàng hóa,00.KE,,KENEM,,0%,,KE CHỮ THẬP,KCT,13348,7/7/2021
Ke Chữ Thập NS 1.5 mm,00.KCT.150.NS,00.KCT.150.NS,Kg,Bịch,1.00,, ,Vật tư hàng hóa,00.KE,,KENEM,,0%,,KE CHỮ THẬP,KCT,13349,7/12/2021
Ke Chữ Thập NS 2 mm,00.KCT.200.NS,00.KCT.200.NS,Kg,Bịch,1.00,, ,Vật tư hàng hóa,00.KE,,KENEM,,0%,,KE CHỮ THẬP,KCT,13350,7/12/2021
Kìm Bấm Nêm,00.KIM.01,00.KIM.01,Cái,, ,, ,Vật tư hàng hóa,00.KE,,KENEM,,0%,,KÌM BẤM NÊM,KIM,13352,7/7/2021
Gạch 80x80 MS 4108 loại 1,00.L1.8080.4108,00.L1.8080.4108,Viên,Hộp,3.00,M2,1.56,Vật tư hàng hóa,00.KE,NCC0068,GACH,,0%,,gạch quy cách 80x80,8080,13353,12/16/2021
Nêm NS,00.NEM.NS,00.NEM.NS,Kg,Bịch,1.00,, ,Vật tư hàng hóa,00.KE,,KENEM,,0%,,NÊM,NEM,13354,7/7/2021
Nêm Cân Bằng,00.NEM.TS,00.NEM.TS,Kg,Bịch,1.00,, ,Vật tư hàng hóa,00.KE,,KENEM,,0%,,NÊM,NEM,13355,7/7/2021
Gạch 25x40 MS 2401T loại 1,01.L1.2540.2401T.0,01.L1.2540.2401T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13363,4/11/2017
Gạch 25x40 MS 2401T loại 1,01.L1.2540.2401T.2,01.L1.2540.2401T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13364,8/27/2017
Gạch 25x40 MS 2401T loại 1,01.L1.2540.2401T.4,01.L1.2540.2401T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13365,8/12/2017
Gạch 25x40 MS 2401T loại 1,01.L1.2540.2401T.5,01.L1.2540.2401T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13366,8/12/2017
Gạch 25x40 MS 2401T loại 1,01.L1.2540.2401T.6,01.L1.2540.2401T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13367,8/12/2017
Gạch 25x40 MS 2401T loại 1,01.L1.2540.2401T.7,01.L1.2540.2401T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13368,8/12/2017
Gạch 25x40 MS 2401T loại 1,01.L1.2540.2401T.8,01.L1.2540.2401T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13369,8/12/2017
Gạch 25x40 MS 2401T loại 1,01.L1.2540.2401T.CT12,01.L1.2540.2401T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13370,3/8/2018
Gạch 25x40 MS 2401T loại 1,01.L1.2540.2401T.CT2,01.L1.2540.2401T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13371,11/29/2017
Gạch 25x40 MS 2401T loại 1,01.L1.2540.2401T.CT4,01.L1.2540.2401T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13372,10/14/2017
Gạch 25x40 MS 2401T loại 1,01.L1.2540.2401T.CT5,01.L1.2540.2401T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13373,10/14/2017
Gạch 25x40 MS 2401T loại 1,01.L1.2540.2401T.CT6,01.L1.2540.2401T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13374,10/14/2017
Gạch 25x40 MS 2401T loại 1,01.L1.2540.2401T.CT7,01.L1.2540.2401T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13375,12/2/2017
Gạch 25x40 MS 2401T loại 1,01.L1.2540.2401T.CT8,01.L1.2540.2401T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13376,12/2/2017
Gạch 25x40 MS 2401V loại 1,01.L1.2540.2401V.0,01.L1.2540.2401V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13377,4/12/2017
Gạch 25x40 MS 2401V loại 1,01.L1.2540.2401V.2,01.L1.2540.2401V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13378,8/27/2017
Gạch 25x40 MS 2401V loại 1,01.L1.2540.2401V.4,01.L1.2540.2401V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13379,8/12/2017
Gạch 25x40 MS 2401V loại 1,01.L1.2540.2401V.5,01.L1.2540.2401V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13380,8/12/2017
Gạch 25x40 MS 2401V loại 1,01.L1.2540.2401V.6,01.L1.2540.2401V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13381,8/12/2017
Gạch 25x40 MS 2401V loại 1,01.L1.2540.2401V.7,01.L1.2540.2401V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13382,8/12/2017
Gạch 25x40 MS 2401V loại 1,01.L1.2540.2401V.8,01.L1.2540.2401V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13383,8/12/2017
Gạch 25x40 MS 2401V loại 1,01.L1.2540.2401V.CT12,01.L1.2540.2401V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13384,3/8/2018
Gạch 25x40 MS 2401V loại 1,01.L1.2540.2401V.CT2,01.L1.2540.2401V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13385,12/1/2017
Gạch 25x40 MS 2401V loại 1,01.L1.2540.2401V.CT4,01.L1.2540.2401V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13386,10/14/2017
Gạch 25x40 MS 2401V loại 1,01.L1.2540.2401V.CT5,01.L1.2540.2401V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13387,10/14/2017
Gạch 25x40 MS 2401V loại 1,01.L1.2540.2401V.CT6,01.L1.2540.2401V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13388,10/14/2017
Gạch 25x40 MS 2401V loại 1,01.L1.2540.2401V.CT7,01.L1.2540.2401V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13389,12/2/2017
Gạch 25x40 MS 2401V loại 1,01.L1.2540.2401V.CT8,01.L1.2540.2401V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13390,12/2/2017
Gạch 25x40 MS 2402T Loại 1,01.L1.2540.2402T.0,01.L1.2540.2402T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13391,4/12/2017
Gạch 25x40 MS 2402T loại 1,01.L1.2540.2402T.4,01.L1.2540.2402T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13392,8/12/2017
Gạch 25x40 MS 2402T loại 1,01.L1.2540.2402T.5,01.L1.2540.2402T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13393,8/12/2017
Gạch 25x40 MS 2402T loại 1,01.L1.2540.2402T.6,01.L1.2540.2402T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13394,8/12/2017
Gạch 25x40 MS 2402T loại 1,01.L1.2540.2402T.7,01.L1.2540.2402T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13395,8/12/2017
Gạch 25x40 MS 2402T loại 1,01.L1.2540.2402T.8,01.L1.2540.2402T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13396,8/12/2017
Gạch 25x40 MS 2402T loại 1,01.L1.2540.2402T.9,01.L1.2540.2402T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13397,1/23/2018
Gạch 25x40 MS 2402T Loại 1,01.L1.2540.2402T.CT10,01.L1.2540.2402T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13398,2/5/2018
Gạch 25x40 MS 2402T Loại 1,01.L1.2540.2402T.CT2,01.L1.2540.2402T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13399,12/8/2017
